85,110,-151,64,1,-212,-3,13,82,39,-19,-70,-5,-7,130,9,5581,2766,28136
3403,16650,21798,28160,26880,16127,0,12544,-513,3583,20992,9984,-4864,-17665,-1025,-1537,-32001,2304,-13056
85,110,-151,62,0,-207,0,9,84,39,-19,-70,-5,-7,130,9,5581,2766,28136
85,110,-151,62,0,-207,0,9,84,39,-19,-70,-5,-7,130,9,5581,2766,28136
3403,16650,11302,32256,14079,14850,0,14336,1023,1536,22784,-4352,255,-17664,-1025,-1537,-32001,2304,-13056
65,-145,543,55,-1,-194,3,6,89,-17,0,-69,-5,-7,130,9,5581,2766,28136
3403,16650,16678,28416,8191,14082,-256,16127,26367,1795,21494,-4850,255,-18176,14079,-7936,30463,2304,-13056
65,-145,543,55,-1,-194,870,-2553,3667,-19,0,-71,54,-31,118,9,5581,2766,28136
86,-158,493,55,-1,-194,870,-2553,3667,-19,0,-75,54,-28,122,9,5581,2766,28136
3403,16650,22054,25088,-4609,14081,-256,16127,26367,1795,21494,-4850,255,-19200,14079,-7168,31487,2304,-13056
86,-158,493,-54,-26,-116,10,9,77,-18,-1,-77,50,-24,125,9,5581,2766,28136
3403,16650,22054,25088,-4609,-13823,-6401,-29441,2815,2304,19712,-4608,-1,-19457,13055,-6144,32255,2304,-13056
-170,208,-606,-57,-14,-92,15,10,77,-18,-1,-77,47,-16,127,9,5581,2766,28136
-170,208,-606,-57,-14,-92,15,10,77,-18,-1,-77,47,-16,127,9,5581,2766,28136
3403,16650,22054,-12033,-24064,-14339,-3329,-23297,4095,2560,19712,-4608,-1,-19457,12287,-4096,32767,2304,-13056
-174,152,-576,-61,5,-68,18,10,78,1,-10,-57,47,-16,127,9,5581,2766,28136
3403,16650,24102,24319,-5888,-15363,1535,-17408,5631,2304,19712,1280,-3072,-14849,12287,-4096,32767,2304,-13056
-162,94,-535,-61,5,-68,21,9,77,5,-12,-59,-23,28,91,9,5581,2766,28136
-134,42,-488,44,13,77,21,9,77,8,-11,-67,-23,28,91,9,5581,2766,28136
3403,16650,31270,11007,6144,11518,3328,19712,5376,2304,19712,2048,-2816,-16897,-7937,9215,23552,2304,-13056
-134,42,-488,38,20,48,21,9,77,10,-9,-77,-39,38,93,9,5581,2766,28136
3403,16650,31270,11007,6144,9982,5120,12288,5376,2304,19712,2560,-2304,-19457,-9729,9983,23808,2304,-13056
427,159,131,39,22,28,41,3,85,10,-9,-77,-47,41,94,9,5581,2766,28136
427,159,131,39,22,28,41,3,85,10,-9,-77,-47,41,94,9,5581,2766,28136
3403,16650,-21722,-24831,-32000,9984,5632,7168,10496,768,21760,2560,-2304,-19457,-11777,10751,24064,2304,-13056
334,140,116,52,19,21,40,1,84,21,-23,-57,-47,41,94,9,5581,2766,28136
3403,16650,20006,-29695,29696,13312,4864,5376,10240,256,21504,5376,-5888,-14337,-11777,10751,24064,2304,-13056
3403,16650,-3290,29184,28416,13312,4864,5376,9728,0,20224,3584,-5376,-14849,-11777,10751,24064,2304,-13056
178,85,117,5,-437,-864,38,0,75,7,-16,-67,29,35,181,9,5581,2766,28136
3403,16650,-19930,21760,29952,1280,19200,-24322,9980,0,19200,1792,-4096,-16897,7679,8960,-19200,2304,-13056
178,85,117,5,-437,-864,38,0,75,7,-16,-67,29,35,181,9,5581,2766,28136
178,85,117,-28,-410,-946,38,0,75,0,-8,-78,37,10,125,9,5581,2766,28136
3403,16650,-19930,21760,29952,-7168,26367,20222,9980,0,19200,0,-2048,-19713,9727,2560,32000,2304,-13056
-106,-53,-9,-53,-347,-1000,85,-42,88,0,-8,-78,67,-23,57,9,5581,2766,28136
3403,16650,-27098,-13313,-2049,-13313,-23041,6398,22012,-10752,22783,0,-2048,-19713,17407,-5888,14847,2304,-13056
-100,-64,-6,-89,-256,-1012,104,-61,94,9,-21,-56,67,-23,57,9,5581,2766,28136
-100,-64,-6,-89,-256,-1012,104,-61,94,9,-21,-56,67,-23,57,9,5581,2766,28136
3403,16650,-19930,-16897,-769,-22529,255,3327,31228,-19968,25343,3840,-5120,-14593,255,20736,18688,2304,-13056
-78,-67,-4,-89,-256,-1012,121,-78,98,15,-20,-58,0,81,73,9,5581,2766,28136
3403,16650,-19930,-16897,-769,21759,-23041,-15617,-30975,-23040,25855,3840,-5120,-14593,255,20736,18688,2304,19968
-78,-67,-4,-172,-91,450,135,-90,100,16,-16,-68,0,81,73,9,5454,2746,28160
3403,16650,-19930,-16897,-769,21759,-23041,-15617,-30975,-23040,25855,4096,-4096,-17153,-1,22783,18432,2304,19968
11,-17,57,-202,-92,472,135,-90,100,16,-16,-68,-3,82,71,9,5454,2746,28160
3403,16650,11558,0,13568,13824,-23297,-9985,-30975,-23040,25855,4096,-4096,-17153,-513,21247,18176,2304,19968
45,0,53,-246,-77,445,135,-90,100,12,1,-81,-3,82,71,9,5454,2746,28160
72,19,44,-246,-77,445,135,-90,100,12,1,-81,-3,82,71,9,5454,2746,28160
3403,16650,18470,4864,11264,2560,-19457,-16897,2817,1280,23296,2816,256,-20224,-513,21247,18176,2304,19968
87,40,35,292,-191,-594,11,10,92,13,0,-76,-49,-4,138,9,5454,2746,28160
3403,16650,22310,10240,8960,9216,16641,-20737,3069,2560,23552,3328,0,-19456,-12289,-769,-29441,2304,19968
87,40,35,259,-267,-592,9,17,91,16,-1,-74,-55,1,151,9,5454,2746,28160
3403,16650,3878,-1536,-1793,-8192,-19456,-14082,2557,4352,23296,4096,-256,-18689,-13825,511,-26880,2304,19968
15,-6,248,224,-332,-568,6,22,85,16,-1,-74,-55,1,151,9,5454,2746,28160
15,-6,248,224,-332,-568,6,22,85,16,-1,-74,-59,2,151,9,5454,2746,28160
3403,16650,1318,-5376,5375,-15615,-30720,-7426,1789,5632,21760,4096,-256,-18689,-14849,767,-26880,2304,19968
-3,-39,307,195,-376,-542,6,22,85,3,-13,-80,-59,2,151,9,5454,2746,28160
